,MovieName,Rating,Genre,Runtime,Stars
82,Pet Sematary,6.6,Comedy| Horror| Thriller,103 min,Director:Mary Lambert|     Stars:Dale Midkiff| Denise Crosby| Fred Gwynne| Brad Greenquist
83,The Twilight Zone,9,Comedy| Horror| Thriller,51 min,Stars:Rod Serling| Robert McCord| Jay Overholts| Vaughn Taylor
84,The House That Jack Built,6.9,Comedy| Horror| Thriller,152 min,Director:Lars von Trier|     Stars:Matt Dillon| Bruno Ganz| Uma Thurman| Siobhan Fallon Hogan
85,The Silence,5.2,Comedy| Horror| Thriller,90 min,Director:John R. Leonetti|     Stars:Stanley Tucci| Kiernan Shipka| Miranda Otto| Kate Trotter
86,Into the Dark,6.4,Comedy| Horror| Thriller,90 min,Stars:Aurora Perrineau| Diane Sellers| Katie Wilson| Tom Bateman
87,The Cabin in the Woods,7,Comedy| Horror| Thriller,95 min,Director:Drew Goddard|     Stars:Kristen Connolly| Chris Hemsworth| Anna Hutchison| Fran Kranz
88,47 Meters Down: Uncaged,-1,Comedy| Horror| Thriller,-1,Director:Johannes Roberts|     Stars:Sistine Rose Stallone| John Corbett| Nia Long| Brec Bassinger
89,Carrie,7.4,Comedy| Horror| Thriller,98 min,Director:Brian De Palma|     Stars:Sissy Spacek| Piper Laurie| Amy Irving| John Travolta
90,The Order,7,Comedy| Horror| Thriller,60 min,Stars:Jake Manley| Sarah Grey| Adam DiMarco| Katharine Isabelle
91,The New Mutants,-1,Comedy| Horror| Thriller,-1,Director:Josh Boone|     Stars:Anya Taylor-Joy| Maisie Williams| Alice Braga| Charlie Heaton
92,Penny Dreadful,8.2,Comedy| Horror| Thriller,60 min,Stars:Josh Hartnett| Timothy Dalton| Eva Green| Reeve Carney
93,Child's Play 2,5.8,Comedy| Horror| Thriller,84 min,Director:John Lafia|     Stars:Alex Vincent| Jenny Agutter| Gerrit Graham| Christine Elise
94,What We Do in the Shadows,7.7,Comedy| Horror| Thriller,86 min,Directors:Jemaine Clement| Taika Waititi|     Stars:Jemaine Clement| Taika Waititi| Cori Gonzalez-Macuer| Jonny Brugh
95,The Stand,7.2,Comedy| Horror| Thriller,361 min,Stars:Gary Sinise| Molly Ringwald| Jamey Sheridan| Laura San Giacomo
96,The Prodigy,5.9,Comedy| Horror| Thriller,92 min,Director:Nicholas McCarthy|     Stars:Taylor Schilling| Jackson Robert Scott| Peter Mooney| Colm Feore
97,Pride and Prejudice and Zombies,5.8,Comedy| Horror| Thriller,108 min,Director:Burr Steers|     Stars:Lily James| Sam Riley| Jack Huston| Bella Heathcote
98,Gerald's Game,6.6,Comedy| Horror| Thriller,103 min,Director:Mike Flanagan|     Stars:Carla Gugino| Bruce Greenwood| Chiara Aurelia| Carel Struycken
99,Insidious,6.9,Comedy| Horror| Thriller,103 min,Director:James Wan|     Stars:Patrick Wilson| Rose Byrne| Ty Simpkins| Lin Shaye
100,Scream,7.2,Comedy| Horror| Thriller,111 min,Director:Wes Craven|     Stars:Neve Campbell| Courteney Cox| David Arquette| Skeet Ulrich
101,Zombieland,7.6,Comedy| Horror| Thriller,88 min,Director:Ruben Fleischer|     Stars:Jesse Eisenberg| Emma Stone| Woody Harrelson| Abigail Breslin
102,Lad de døde hvile,7.5,Comedy| Horror| Thriller,104 min,Director:Sohail A. Hassan|     Stars:Jakob Hasselstrøm| Razi Irawani| Sidse Kinnerup| Maria Fritsche
103,Bride of Chucky,5.4,Comedy| Horror| Thriller,89 min,Director:Ronny Yu|     Stars:Jennifer Tilly| Brad Dourif| Katherine Heigl| Nick Stabile
104,Mandy,6.6,Comedy| Horror| Thriller,121 min,Director:Panos Cosmatos|     Stars:Nicolas Cage| Andrea Riseborough| Linus Roache| Ned Dennehy
105,Apostle,6.3,Comedy| Horror| Thriller,130 min,Director:Gareth Evans|     Stars:Dan Stevens| Richard Elfyn| Paul Higgins| Bill Milner
106,Psycho,8.5,Comedy| Horror| Thriller,109 min,Director:Alfred Hitchcock|     Stars:Anthony Perkins| Janet Leigh| Vera Miles| John Gavin
107,Salò o le 120 giornate di Sodoma,6,Comedy| Horror| Thriller,117 min,Director:Pier Paolo Pasolini|     Stars:Paolo Bonacelli| Laura Betti| Giorgio Cataldi| Umberto Paolo Quintavalle
108,"The Beast from 20,000 Fathoms",6.7,Comedy| Horror| Thriller,80 min,Director:Eugène Lourié|     Stars:Paul Hubschmid| Paula Raymond| Cecil Kellaway| Kenneth Tobey
109,Happy Death Day,6.5,Comedy| Horror| Thriller,96 min,Director:Christopher Landon|     Stars:Jessica Rothe| Israel Broussard| Ruby Modine| Charles Aitken
110,The Thing,8.1,Comedy| Horror| Thriller,109 min,Director:John Carpenter|     Stars:Kurt Russell| Wilford Brimley| Keith David| Richard Masur
111,Slaughterhouse Rulez,5.3,Comedy| Horror| Thriller,104 min,Director:Crispian Mills|     Stars:Michael Sheen| Margot Robbie| Asa Butterfield| Simon Pegg
112,It,6.9,Comedy| Horror| Thriller,192 min,Stars:Richard Thomas| Tim Reid| Annette O'Toole| Harry Anderson
113,The Addams Family,-1,Comedy| Horror| Thriller,-1,Directors:Greg Tiernan| Conrad Vernon|     Stars:Chloë Grace Moretz| Charlize Theron| Finn Wolfhard| Aimee Garcia
114,Life,6.6,Comedy| Horror| Thriller,104 min,Director:Daniel Espinosa|     Stars:Jake Gyllenhaal| Rebecca Ferguson| Ryan Reynolds| Hiroyuki Sanada
115,Polaroid,5.1,Comedy| Horror| Thriller,88 min,Director:Lars Klevberg|     Stars:Kathryn Prescott| Tyler Young| Samantha Logan| Keenan Tracey
116,The Exorcist,8,Comedy| Horror| Thriller,122 min,Director:William Friedkin|     Stars:Ellen Burstyn| Max von Sydow| Linda Blair| Lee J. Cobb
117,Orphan,7,Comedy| Horror| Thriller,123 min,Director:Jaume Collet-Serra|     Stars:Vera Farmiga| Peter Sarsgaard| Isabelle Fuhrman| CCH Pounder
118,La piel que habito,7.6,Comedy| Horror| Thriller,120 min,Director:Pedro Almodóvar|     Stars:Antonio Banderas| Elena Anaya| Jan Cornet| Marisa Paredes
119,Ash vs Evil Dead,8.5,Comedy| Horror| Thriller,30 min,Stars:Bruce Campbell| Ray Santiago| Dana DeLorenzo| Lucy Lawless
120,The Hills Have Eyes,6.4,Comedy| Horror| Thriller,107 min,Director:Alexandre Aja|     Stars:Ted Levine| Kathleen Quinlan| Dan Byrd| Emilie de Ravin
121,World War Z,7,Comedy| Horror| Thriller,116 min,Director:Marc Forster|     Stars:Brad Pitt| Mireille Enos| Daniella Kertesz| James Badge Dale
122,The Bad Batch,5.3,Comedy| Horror| Thriller,118 min,Director:Ana Lily Amirpour|     Stars:Suki Waterhouse| Jason Momoa| Jayda Fink| Keanu Reeves
123,Velvet Buzzsaw,5.7,Comedy| Horror| Thriller,113 min,Director:Dan Gilroy|     Stars:Jake Gyllenhaal| Rene Russo| Zawe Ashton| Tom Sturridge
124,Bone Tomahawk,7.1,Comedy| Horror| Thriller,132 min,Director:S. Craig Zahler|     Stars:Kurt Russell| Patrick Wilson| Matthew Fox| Richard Jenkins
125,Z Nation,6.7,Comedy| Horror| Thriller,44 min,Stars:Russell Hodgkinson| Nat Zang| Keith Allan| Kellita Smith
126,28 Weeks Later,7,Comedy| Horror| Thriller,100 min,Director:Juan Carlos Fresnadillo|     Stars:Jeremy Renner| Rose Byrne| Robert Carlyle| Harold Perrineau
127,Cutting Class,4.3,Comedy| Horror| Thriller,91 min,Director:Rospo Pallenberg|     Stars:Donovan Leitch Jr.| Jill Schoelen| Brad Pitt| Roddy McDowall
128,The Ritual,6.3,Comedy| Horror| Thriller,94 min,Director:David Bruckner|     Stars:Rafe Spall| Arsher Ali| Robert James-Collier| Sam Troughton
129,The Lost Boys,7.3,Comedy| Horror| Thriller,97 min,Director:Joel Schumacher|     Stars:Jason Patric| Corey Haim| Dianne Wiest| Barnard Hughes
130,Chernobyl Diaries,5,Comedy| Horror| Thriller,86 min,Director:Bradley Parker|     Stars:Jesse McCartney| Jonathan Sadowski| Olivia Taylor Dudley| Nathan Phillips
131,Clickbait,5.7,Comedy| Horror| Thriller,80 min,Directors:Sophia Cacciola| Michael J. Epstein|     Stars:Colby Stewart| Brandi Aguilar| Seth Chatfield| Ryan James Hilt
132,Wretch,3.6,Comedy| Horror| Thriller,89 min,Director:Brian Cunningham|     Stars:Megan Massie| Spencer Korcz| Riker Hill| Savannah Marie
133,Seed of Chucky,4.9,Comedy| Horror| Thriller,87 min,Director:Don Mancini|     Stars:Jennifer Tilly| Brad Dourif| John Waters| Billy Boyd
134,The Intruder,5.4,Comedy| Horror| Thriller,102 min,Director:Deon Taylor|     Stars:Meagan Good| Dennis Quaid| Joseph Sikora| Michael Ealy
135,Srpski film,5.1,Comedy| Horror| Thriller,104 min,Director:Srdjan Spasojevic|     Stars:Srdjan 'Zika' Todorovic| Sergej Trifunovic| Jelena Gavrilovic| Slobodan Bestic
136,Goosebumps 2: Haunted Halloween,5.6,Comedy| Horror| Thriller,90 min,Director:Ari Sandel|     Stars:Wendi McLendon-Covey| Madison Iseman| Jeremy Ray Taylor| Caleel Harris
137,Halloween,7.8,Comedy| Horror| Thriller,91 min,Director:John Carpenter|     Stars:Donald Pleasence| Jamie Lee Curtis| Tony Moran| Nancy Kyes
138,The Babysitter,6.3,Comedy| Horror| Thriller,85 min,Director:McG|     Stars:Judah Lewis| Samara Weaving| Robbie Amell| Hana Mae Lee
139,Shaun of the Dead,7.9,Comedy| Horror| Thriller,99 min,Director:Edgar Wright|     Stars:Simon Pegg| Nick Frost| Kate Ashfield| Lucy Davis
140,The Golem,5.9,Comedy| Horror| Thriller,95 min,Directors:Doron Paz| Yoav Paz|     Stars:Hani Furstenberg| Ishai Golan| Brynie Furstenberg| Lenny Ravich
141,Three From Hell,-1,Comedy| Horror| Thriller,-1,Director:Rob Zombie|     Stars:Sheri Moon Zombie| Sid Haig| Bill Moseley| Emilio Rivera
142,JoJo no kimyô-na bôken,8.4,Comedy| Horror| Thriller,30 min,Stars:Matthew Mercer| Daisuke Ono| Unshô Ishizuka| Tôru Ohkawa
143,Saw,7.6,Comedy| Horror| Thriller,103 min,Director:James Wan|     Stars:Cary Elwes| Leigh Whannell| Danny Glover| Ken Leung
144,Child's Play 3,5.1,Comedy| Horror| Thriller,90 min,Director:Jack Bender|     Stars:Justin Whalin| Perrey Reeves| Jeremy Sylvers| Travis Fine
145,The Mist,7.2,Comedy| Horror| Thriller,126 min,Director:Frank Darabont|     Stars:Thomas Jane| Marcia Gay Harden| Laurie Holden| Andre Braugher
146,The Evil Dead,7.5,Comedy| Horror| Thriller,85 min,Director:Sam Raimi|     Stars:Bruce Campbell| Ellen Sandweiss| Richard DeManincor| Betsy Baker
147,Friday the 13th,6.5,Comedy| Horror| Thriller,95 min,Director:Sean S. Cunningham|     Stars:Betsy Palmer| Adrienne King| Jeannine Taylor| Robbi Morgan
148,The Strain,7.4,Comedy| Horror| Thriller,43 min,Stars:Corey Stoll| David Bradley| Kevin Durand| Jonathan Hyde
149,Charles,-1,Comedy| Horror| Thriller,-1,Director:Luis Serrano|     Stars:Luis Serrano| Shannon Ray Morris| Rossalyn Fontanilla| Tyler Falcoa
150,Curse of Chucky,5.7,Comedy| Horror| Thriller,97 min,Director:Don Mancini|     Stars:Chantal Quesnelle| Fiona Dourif| Jordan Gavaris| Danielle Bisutti
151,From Dusk Till Dawn,7.2,Comedy| Horror| Thriller,108 min,Director:Robert Rodriguez|     Stars:Harvey Keitel| George Clooney| Juliette Lewis| Quentin Tarantino
152,Thinner,5.7,Comedy| Horror| Thriller,93 min,Director:Tom Holland|     Stars:Robert John Burke| Joe Mantegna| Lucinda Jenney| Bethany Joy Lenz
153,The Green Inferno,5.3,Comedy| Horror| Thriller,100 min,Director:Eli Roth|     Stars:Lorenza Izzo| Ariel Levy| Aaron Burns| Kirby Bliss Blanton
154,Black Summer,6.4,Comedy| Horror| Thriller,40 min,Stars:Jaime King| Justin Chu Cary| Christine Lee| Sal Velez Jr.
155,A Nightmare on Elm Street,7.5,Comedy| Horror| Thriller,91 min,Director:Wes Craven|     Stars:Heather Langenkamp| Johnny Depp| Robert Englund| John Saxon
156,The Shallows,6.3,Comedy| Horror| Thriller,86 min,Director:Jaume Collet-Serra|     Stars:Blake Lively| Óscar Jaenada| Angelo Josue Lozano Corzo| Joseph Salas
157,Dracula Untold,6.3,Comedy| Horror| Thriller,92 min,Director:Gary Shore|     Stars:Luke Evans| Dominic Cooper| Sarah Gadon| Art Parkinson
158,Under the Skin,6.3,Comedy| Horror| Thriller,108 min,Director:Jonathan Glazer|     Stars:Scarlett Johansson| Jeremy McWilliams| Lynsey Taylor Mackay| Dougie McConnell
159,Crimson Peak,6.5,Comedy| Horror| Thriller,119 min,Director:Guillermo del Toro|     Stars:Mia Wasikowska| Jessica Chastain| Tom Hiddleston| Charlie Hunnam
160,10 Cloverfield Lane,7.2,Comedy| Horror| Thriller,103 min,Director:Dan Trachtenberg|     Stars:John Goodman| Mary Elizabeth Winstead| John Gallagher Jr.| Douglas M. Griffin
161,In Fabric,7,Comedy| Horror| Thriller,118 min,Director:Peter Strickland|     Stars:Gwendoline Christie| Julian Barratt| Sidse Babett Knudsen| Marianne Jean-Baptiste
162,Don't Breathe,7.1,Comedy| Horror| Thriller,88 min,Director:Fede Alvarez|     Stars:Stephen Lang| Jane Levy| Dylan Minnette| Daniel Zovatto
163,The Invitation,6.7,Comedy| Horror| Thriller,100 min,Director:Karyn Kusama|     Stars:Logan Marshall-Green| Emayatzy Corinealdi| Michiel Huisman| Tammy Blanchard
164,It Follows,6.9,Comedy| Horror| Thriller,100 min,Director:David Robert Mitchell|     Stars:Maika Monroe| Keir Gilchrist| Olivia Luccardi| Lili Sepe
